Nome;Modelo;Serie;Patrimonio;Status;Setor;Filial
GAVETA;GAVETA BEMATECH;SEM SÉRIE;;True;FRENTE DE CAIXA;4
GAVETA;GAVETA BEMATECH;5,51201E+12;;True;FRENTE DE CAIXA;4
GAVETA;GAVETA BEMATECH;5,51201E+11;;True;FRENTE DE CAIXA;4
GAVETA;GAVETA BEMATECH;5,51108E+11;;True;FRENTE DE CAIXA;4
GAVETA;GAVETA BEMATECH;5,51202E+11;;True;FRENTE DE CAIXA;4
GAVETA;GAVETA BEMATECH;5,51202E+11;;True;FRENTE DE CAIXA;4
GAVETA;GAVETA BEMATECH;5,51201E+13;;True;FRENTE DE CAIXA;4
GAVETA;GAVETA BEMATECH;SEM SÉRIE;;True;FRENTE DE CAIXA;4
GAVETA;GAVETA BEMATECH;5,51108E+11;;True;FRENTE DE CAIXA;4
GAVETA;GAVETA BEMATECH;5,51108E+11;;True;FRENTE DE CAIXA;4
GAVETA;GAVETA BEMATECH;5,51108E+11;;True;FRENTE DE CAIXA;4
GAVETA;GAVETA BEMATECH;5,51108E+11;;True;FRENTE DE CAIXA;4
GAVETA;GAVETA BEMATECH;5,51108E+11;;True;FRENTE DE CAIXA;4
GAVETA;GAVETA BEMATECH;5,51108E+11;;True;FRENTE DE CAIXA;4
GAVETA;GAVETA BEMATECH;SEM SÉRIE;;True;FRENTE DE CAIXA;4
GAVETA;GAVETA BEMATECH;11544;;True;FRENTE DE CAIXA;4
GAVETA;GAVETA BEMATECH;SEM SÉRIE;;True;FRENTE DE CAIXA;4
GAVETA;GAVETA BEMATECH;5,51105E+11;;True;FRENTE DE CAIXA;4
GAVETA;GAVETA BEMATECH;5,51201E+11;;True;FRENTE DE CAIXA;4
GAVETA;GAVETA BEMATECH;5,51201E+11;;True;FRENTE DE CAIXA;4
GAVETA;GAVETA BEMATECH;5,51201E+11;;True;FRENTE DE CAIXA;4
GAVETA;GAVETA BEMATECH;5,51201E+11;;True;FRENTE DE CAIXA;4
GAVETA;GAVETA BEMATECH;5,51201E+11;;True;FRENTE DE CAIXA;4
GAVETA;GAVETA BEMATECH;5,51307E+11;;True;FRENTE DE CAIXA;4
GAVETA;GAVETA BEMATECH;5,51201E+11;;True;FRENTE DE CAIXA;4
GAVETA;GAVETA BEMATECH;5,51312E+11;;True;FRENTE DE CAIXA;4
GAVETA;GAVETA BEMATECH;5,51712E+11;;True;FRENTE DE CAIXA;4
GAVETA;GAVETA BEMATECH;5,51312E+11;;True;FRENTE DE CAIXA;4
GAVETA;GAVETA BEMATECH;5,51201E+11;;True;FRENTE DE CAIXA;4
GAVETA;GAVETA BEMATECH;5,51201E+11;;True;FRENTE DE CAIXA;4
GAVETA;GAVETA BEMATECH;5,51201E+11;;True;FRENTE DE CAIXA;4
GAVETA;GAVETA BEMATECH;5,51108E+11;;True;FRENTE DE CAIXA;4
LEITOR;LEITOR SYMBOL LS2208 COM FIO;11566;;True;FRENTE DE CAIXA;4
LEITOR;LEITOR SYMBOL LS2208 COM FIO;SEM SÉRIE;SEM PATRIMONIO;True;FRENTE DE CAIXA;4
LEITOR;LEITOR SYMBOL LS4000i COM FIO;11567;;True;FRENTE DE CAIXA;4
LEITOR;LEITOR SYMBOL LS4000i COM FIO;11566;;True;FRENTE DE CAIXA;4
LEITOR;SYMBOL LI4278;1,13801E+11;60428;True;FRENTE DE CAIXA;4
LEITOR;SYMBOL LI4278;1,3209E+12;60384;True;FRENTE DE CAIXA;4
LEITOR;SYMBOL LI4278;1,3317E+12;60154;True;FRENTE DE CAIXA;4
LEITOR;SYMBOL LI4278;8,184E+12;60239;True;FRENTE DE CAIXA;4
LEITOR;SYMBOL LI4278;1,3238E+12;60326;True;FRENTE DE CAIXA;4
LEITOR;SYMBOL LI4278;1,3212E+12;60294;True;FRENTE DE CAIXA;4
LEITOR;SYMBOL LI4278;1,1078E+13;60394;True;FRENTE DE CAIXA;4
LEITOR;SYMBOL LI4278;1,3212E+12;60324;True;FRENTE DE CAIXA;4
LEITOR;SYMBOL LI4278;1,321E+12;60171;True;FRENTE DE CAIXA;4
LEITOR;SYMBOL LI4278;1,0342E+12;60035;True;FRENTE DE CAIXA;4
LEITOR;SYMBOL LI4278;1,3317E+12;60322;True;FRENTE DE CAIXA;4
LEITOR;SYMBOL LI4278;1,3212E+12;60327;True;FRENTE DE CAIXA;4
LEITOR;SYMBOL LS7708;1,3206E+12;60100;True;FRENTE DE CAIXA;4
LEITOR;SYMBOL LS7708;1,1353E+13;60420;True;FRENTE DE CAIXA;4
LEITOR;SYMBOL LS7708;H52K29510NOM;60201;True;FRENTE DE CAIXA;4
LEITOR;SYMBOL LS7708;1,1353E+12;60421;True;FRENTE DE CAIXA;4
LEITOR;SYMBOL LS7708;5,36352E+12;60298;True;FRENTE DE CAIXA;4
LEITOR;SYMBOL LS7708;5,34752E+11;60297;True;FRENTE DE CAIXA;4
LEITOR;SYMBOL LS7708;5,33652E+12;60292;True;FRENTE DE CAIXA;4
LEITOR;SYMBOL LS7708;1,3199E+12;60094;True;FRENTE DE CAIXA;4
LEITOR;SYMBOL LS7708;1,1356E+12;60419;True;FRENTE DE CAIXA;4
LEITOR;SYMBOL LS7708;1,3199E+12;60118;True;FRENTE DE CAIXA;4
LEITOR;SYMBOL LS7708;1,1353E+12;60415;True;FRENTE DE CAIXA;4
LEITOR;SYMBOL LS7708;1,3225E+12;60117;True;FRENTE DE CAIXA;4
LEITOR;SYMBOL LS7708;1,1353E+12;60422;True;FRENTE DE CAIXA;4
LEITOR;SYMBOL LS7708;1,3206E+12;60100;True;FRENTE DE CAIXA;4
LEITOR;SYMBOL LS7708;1,1285E+12;60412;True;FRENTE DE CAIXA;4
LEITOR;SYMBOL LS7708;1,3199E+12;60096;True;FRENTE DE CAIXA;4
LEITOR;SYMBOL LS7708;1,1353E+13;60418;True;FRENTE DE CAIXA;4
LEITOR;SYMBOL LS7708;1,1353E+12;60417;True;FRENTE DE CAIXA;4
LEITOR;SYMBOL LS7708;1,1353E+12;60414;True;FRENTE DE CAIXA;4
LEITOR;SYMBOL LS7708;1,3223E+12;60095;True;FRENTE DE CAIXA;4
LEITOR;SYMBOL LS7708;1,1353E+12;60413;True;FRENTE DE CAIXA;4
LEITOR;SYMBOL LS7708;5,36352E+12;60291;True;FRENTE DE CAIXA;4
LEITOR;SYMBOL STB4278;1,3317E+12;60166;True;FRENTE DE CAIXA;4
LEITOR;SYMBOL STB4278;1,321E+12;60115;True;FRENTE DE CAIXA;4
LEITOR;SYMBOL STB4278;1,3038E+12;60440;True;FRENTE DE CAIXA;4
LEITOR;SYMBOL STB4278;1,3318E+12;60330;True;FRENTE DE CAIXA;4
LEITOR;SYMBOL STB4278;1,2137E+12;60425;True;FRENTE DE CAIXA;4
