Setor;Modelo;Tipo;Serie;Patrimonio;Filial;Status;
10287;OP. DE CAIXA;4;;;;;
10289;OP. DE CAIXA;4;;;;;
10291;OP. DE CAIXA;4;;;;;
10292;OP. DE CAIXA ;4;;;;;
10293;OP. DE CAIXA;4;;;;;
10295;OP. DE CAIXA;4;;;;;
10296;OP. DE CAIXA;4;;;;;
10307;OP. DE CAIXA;4;;;;;
10368;OP. DE CAIXA;4;;;;;
10434;OP. DE CAIXA;4;;;;;
10435;OP. DE CAIXA;4;;;;;
10775;OP. DE CAIXA;4;;;;;
30163;OP. DE CAIXA;4;;;;;
30298;OP. DE CAIXA ;4;;;;;
30339;OP. DE CAIXA;4;;;;;
30348;OP. DE CAIXA;4;;;;;
30381;OP. DE CAIXA;4;;;;;
30391;OP. DE CAIXA ;4;;;;;
30413;OP. DE CAIXA;4;;;;;
30425;OP. DE CAIXA;4;;;;;
30436;OP. DE CAIXA;4;;;;;
30451;OP. DE CAIXA;4;;;;;
30725;OP. DE CAIXA;4;;;;;
FRENTE DE CAIXA;GAVETA BEMATECH;GAVETA;5,51108E+11;;4;True;
FRENTE DE CAIXA;GAVETA BEMATECH;GAVETA;5,51201E+11;;4;True;
FRENTE DE CAIXA;GAVETA BEMATECH;GAVETA;5,51108E+11;;4;True;
FRENTE DE CAIXA;GAVETA BEMATECH;GAVETA;5,51108E+11;;4;True;
FRENTE DE CAIXA;GAVETA BEMATECH;GAVETA;5,51201E+11;;4;True;
FRENTE DE CAIXA;GAVETA BEMATECH;GAVETA;5,51108E+11;;4;True;
FRENTE DE CAIXA;GAVETA BEMATECH;GAVETA;5,51108E+11;;4;True;
FRENTE DE CAIXA;GAVETA BEMATECH;GAVETA;SEM SÉRIE;;4;True;
FRENTE DE CAIXA;GAVETA BEMATECH;GAVETA;5,51312E+11;;4;True;
FRENTE DE CAIXA;GAVETA BEMATECH;GAVETA;5,51312E+11;;4;True;
FRENTE DE CAIXA;GAVETA BEMATECH;GAVETA;5,51307E+11;;4;True;
FRENTE DE CAIXA;GAVETA BEMATECH;GAVETA;5,51201E+11;;4;True;
FRENTE DE CAIXA;GAVETA BEMATECH;GAVETA;SEM SÉRIE;;4;True;
FRENTE DE CAIXA;GAVETA BEMATECH;GAVETA;5,51201E+12;;4;True;
FRENTE DE CAIXA;GAVETA BEMATECH;GAVETA;5,51201E+11;;4;True;
FRENTE DE CAIXA;GAVETA BEMATECH;GAVETA;5,51108E+11;;4;True;
FRENTE DE CAIXA;GAVETA BEMATECH;GAVETA;5,51202E+11;;4;True;
FRENTE DE CAIXA;GAVETA BEMATECH;GAVETA;5,51202E+11;;4;True;
FRENTE DE CAIXA;GAVETA BEMATECH;GAVETA;5,51201E+13;;4;True;
FRENTE DE CAIXA;GAVETA BEMATECH;GAVETA;SEM SÉRIE;;4;True;
FRENTE DE CAIXA;GAVETA BEMATECH;GAVETA;5,51108E+11;;4;True;
FRENTE DE CAIXA;GAVETA BEMATECH;GAVETA;5,51108E+11;;4;True;
FRENTE DE CAIXA;GAVETA BEMATECH;GAVETA;5,51108E+11;;4;True;
FRENTE DE CAIXA;GAVETA BEMATECH;GAVETA;5,51108E+11;;4;True;
FRENTE DE CAIXA;GAVETA BEMATECH;GAVETA;5,51108E+11;;4;True;
FRENTE DE CAIXA;GAVETA BEMATECH;GAVETA;5,51108E+11;;4;True;
FRENTE DE CAIXA;GAVETA BEMATECH;GAVETA;SEM SÉRIE;;4;True;
FRENTE DE CAIXA;GAVETA BEMATECH;GAVETA;11544;;4;True;
FRENTE DE CAIXA;GAVETA BEMATECH;GAVETA;SEM SÉRIE;;4;True;
FRENTE DE CAIXA;GAVETA BEMATECH;GAVETA;5,51105E+11;;4;True;
FRENTE DE CAIXA;GAVETA BEMATECH;GAVETA;5,51201E+11;;4;True;
FRENTE DE CAIXA;GAVETA BEMATECH;GAVETA;5,51201E+11;;4;True;
FRENTE DE CAIXA;GAVETA BEMATECH;GAVETA;5,51201E+11;;4;True;
FRENTE DE CAIXA;GAVETA BEMATECH;GAVETA;5,51201E+11;;4;True;
FRENTE DE CAIXA;GAVETA BEMATECH;GAVETA;5,51201E+11;;4;True;
FRENTE DE CAIXA;GAVETA BEMATECH;GAVETA;5,51307E+11;;4;True;
FRENTE DE CAIXA;GAVETA BEMATECH;GAVETA;5,51201E+11;;4;True;
FRENTE DE CAIXA;GAVETA BEMATECH;GAVETA;5,51312E+11;;4;True;
FRENTE DE CAIXA;GAVETA BEMATECH;GAVETA;5,51712E+11;;4;True;
FRENTE DE CAIXA;GAVETA BEMATECH;GAVETA;5,51312E+11;;4;True;
FRENTE DE CAIXA;GAVETA BEMATECH;GAVETA;5,51201E+11;;4;True;
FRENTE DE CAIXA;GAVETA BEMATECH;GAVETA;5,51201E+11;;4;True;
FRENTE DE CAIXA;GAVETA BEMATECH;GAVETA;5,51201E+11;;4;True;
FRENTE DE CAIXA;GAVETA BEMATECH;GAVETA;5,51108E+11;;4;True;
FRENTE DE CAIXA;LEITOR SYMBOL LS2208 COM FIO;LEITOR;11566;;4;True;
FRENTE DE CAIXA;LEITOR SYMBOL LS2208 COM FIO;LEITOR;SEM SÉRIE;SEM PATRIMONIO;4;True;
FRENTE DE CAIXA;LEITOR SYMBOL LS4000i COM FIO;LEITOR;11567;;4;True;
FRENTE DE CAIXA;LEITOR SYMBOL LS4000i COM FIO;LEITOR;11566;;4;True;
FRENTE DE CAIXA;SYMBOL LI4278;LEITOR;1,13801E+11;60428;4;True;
FRENTE DE CAIXA;SYMBOL LI4278;LEITOR;1,3209E+12;60384;4;True;
FRENTE DE CAIXA;SYMBOL LI4278;LEITOR;1,3317E+12;60154;4;True;
FRENTE DE CAIXA;SYMBOL LI4278;LEITOR;8,184E+12;60239;4;True;
FRENTE DE CAIXA;SYMBOL LI4278;LEITOR;1,3238E+12;60326;4;True;
FRENTE DE CAIXA;SYMBOL LI4278;LEITOR;1,3212E+12;60294;4;True;
FRENTE DE CAIXA;SYMBOL LI4278;LEITOR;1,1078E+13;60394;4;True;
FRENTE DE CAIXA;SYMBOL LI4278;LEITOR;1,3212E+12;60324;4;True;
FRENTE DE CAIXA;SYMBOL LI4278;LEITOR;1,321E+12;60171;4;True;
FRENTE DE CAIXA;SYMBOL LI4278;LEITOR;1,0342E+12;60035;4;True;
FRENTE DE CAIXA;SYMBOL LI4278;LEITOR;1,3317E+12;60322;4;True;
FRENTE DE CAIXA;SYMBOL LI4278;LEITOR;1,3212E+12;60327;4;True;
FRENTE DE CAIXA;SYMBOL LS7708;LEITOR;1,3206E+12;60100;4;True;
FRENTE DE CAIXA;SYMBOL LS7708;LEITOR;1,1353E+13;60420;4;True;
FRENTE DE CAIXA;SYMBOL LS7708;LEITOR;H52K29510NOM;60201;4;True;
FRENTE DE CAIXA;SYMBOL LS7708;LEITOR;1,1353E+12;60421;4;True;
FRENTE DE CAIXA;SYMBOL LS7708;LEITOR;5,36352E+12;60298;4;True;
FRENTE DE CAIXA;SYMBOL LS7708;LEITOR;5,34752E+11;60297;4;True;
FRENTE DE CAIXA;SYMBOL LS7708;LEITOR;5,33652E+12;60292;4;True;
FRENTE DE CAIXA;SYMBOL LS7708;LEITOR;1,3199E+12;60094;4;True;
FRENTE DE CAIXA;SYMBOL LS7708;LEITOR;1,1356E+12;60419;4;True;
FRENTE DE CAIXA;SYMBOL LS7708;LEITOR;1,3199E+12;60118;4;True;
FRENTE DE CAIXA;SYMBOL LS7708;LEITOR;1,1353E+12;60415;4;True;
FRENTE DE CAIXA;SYMBOL LS7708;LEITOR;1,3225E+12;60117;4;True;
FRENTE DE CAIXA;SYMBOL LS7708;LEITOR;1,1353E+12;60422;4;True;
FRENTE DE CAIXA;SYMBOL LS7708;LEITOR;1,3206E+12;60100;4;True;
FRENTE DE CAIXA;SYMBOL LS7708;LEITOR;1,1285E+12;60412;4;True;
FRENTE DE CAIXA;SYMBOL LS7708;LEITOR;1,3199E+12;60096;4;True;
FRENTE DE CAIXA;SYMBOL LS7708;LEITOR;1,1353E+13;60418;4;True;
FRENTE DE CAIXA;SYMBOL LS7708;LEITOR;1,1353E+12;60417;4;True;
